page_date,category,title,readings_text,body,prayer,image_path,reading_links_json
2026-01-01,全心爱主,1月1日：爱的起点,创世记1-2章、马太福音1章、诗篇1篇,"你是照着神的形象所造的，是祂满怀爱意与目的精心塑造的。你不是偶然，也不是事后的想法。从起初，神就细心地创造你，并向你吹入生命的气息。安息在祂的同在中，让你的敬拜从认识造物主的喜乐中升起。

祂的信实永不改变。正如祂在基督里成就了祂的应许，祂也必在你身上成就祂美好的旨意。即使过程有时显得缓慢，你仍可信靠祂的时间。从创造到救赎，祂的爱始终是你身份的根基。扎根于祂的真理，祂的爱必在每个季节扶持你。

以敬畏之心全心爱主，祂的智慧就要成为你的引导与力量。",天父，感谢祢照着祢的形象创造我，并以目的编织我的人生。帮助我安息在祢的同在中，全心全意地爱祢，并扎根于祢的话语。求祢以祢的智慧引导我，愿祢的爱在每个季节中扶持我。愿我的生命见证祢的信实，荣耀祢的名。阿们。,/static/images/picture1.jpg,"[{""text"": ""创世记 1章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/1.htm""}, {""text"": ""创世记 2章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/2.htm""}, {""text"": ""马太福音 1章"", ""url"": ""https://www.wordproject.org/bibles/gb/40/1.htm""}, {""text"": ""诗篇 1篇"", ""url"": ""https://www.wordproject.org/bibles/gb/19/1.htm""}]"
2026-01-02,全心爱主,1月2日：选择爱，而非罪,创世记3章、马太福音2章、诗篇2篇,"创世记第3章记载了人类堕落的悲剧。亚当和夏娃在信靠神与跟随私欲之间面临抉择。蛇诱惑他们，使他们以为可以拥有智慧，并能脱离神而自立。

令人心痛的是，他们陷入了罪中。尽管人失败了，神的爱并未因此消失。虽然罪带来了后果，但主仍为他们遮盖赤身，并赐下盼望与未来。罪是从我们怀疑神的良善，在祂以外寻求满足开始。

让我们每天选择活在救主的爱中,因祂的爱远胜过一切短暂的罪恶与世上的享乐。",天父，感谢祢藉着耶稣向我显明祢的爱，并指示我生命的道路。求祢赐我力量，抵挡试探，行在公义中，并在每天的抉择里以爱回应祢。愿我的顺服成为我对祢爱的忠诚表达。阿们。,/static/images/picture1.jpg,"[{""text"": ""创世记 3章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/3.htm""}, {""text"": ""马太福音 2章"", ""url"": ""https://www.wordproject.org/bibles/gb/40/2.htm""}, {""text"": ""诗篇 2篇"", ""url"": ""https://www.wordproject.org/bibles/gb/19/2.htm""}]"
2026-01-03,全心爱主,1月3日：悔改是神所喜悦的,创世记4章、马太福音3章、诗篇3-4篇,"在马太福音第3章，施洗约翰呼召众人悔改，因为“天国近了”。悔改并非羞耻，而是回转到那位爱我们的主面前。当我们真实全心爱主，就不会在失败时逃避祂，而是奔向祂。

悔改就是在说：“神啊，我太爱祢，不愿与祢疏远；我要让我的心贴近祢的心。”约翰接着说：“要结出与悔改相称的果子。”当我们全心爱主，就愿意让祂改变我们的态度、习惯与行为。真正的悔改会结出谦卑、慷慨、顺服、饶恕与圣洁的果子。

我们改变，不是为了赢得神的爱，而是因为我们已经得着祂的爱，并渴望讨祂的喜悦。",主耶稣，我回转向祢。求祢赦免我一切的罪。我渴望先讨祢的喜悦。教导我每天隐藏在祢里面，安息在祢信实的保护中。愿祢的同在更新我的心灵，引导我的脚步。阿们。,/static/images/picture1.jpg,"[{""text"": ""创世记 4章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/4.htm""}, {""text"": ""马太福音 3章"", ""url"": ""https://www.wordproject.org/bibles/gb/40/3.htm""}, {""text"": ""诗篇 3篇"", ""url"": ""https://www.wordproject.org/bibles/gb/19/3.htm""}, {""text"": ""诗篇 4篇"", ""url"": ""https://www.wordproject.org/bibles/gb/19/4.htm""}]"
2026-01-04,全心爱主,1月4日：与神同行,创世记5-6章、马太福音4章、诗篇5篇,"以诺的一生在创世记第五章中，用一句简单却有力的话总结：“以诺与神同行”。这并非一时的属灵热忱，而是一生持守与神亲近的操练。全心的信心不只是相信神，更是在每个季节选择与祂同行。

信心不是短跑，而是日复一日与神并肩同行。希伯来书11章5节揭示了以诺的遗产：他得了神喜悦他的明证。他的信心如此讨神的喜悦，以至于神亲自接他去与祂同在。他既没有建造方舟，也没有领导一个国家，但他深深地爱神，这就已经足够了。

让我们也渴望，每一天与我们的主同行！",天父，求祢帮助我忠心地与祢同行。我渴望更深认识祢。让我在爱与顺服中坚定不移，结出讨祢喜悦的果子。求祢无时无刻都与我同在。我全然信靠祢。阿们。,/static/images/picture1.jpg,"[{""text"": ""创世记 5章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/5.htm""}, {""text"": ""创世记 6章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/6.htm""}, {""text"": ""马太福音 4章"", ""url"": ""https://www.wordproject.org/bibles/gb/40/4.htm""}, {""text"": ""诗篇 5篇"", ""url"": ""https://www.wordproject.org/bibles/gb/19/5.htm""}]"
2026-01-05,全心爱主,1月5日：在风暴中安然无恙,创世记7-8章、马太福音5:1-20、箴言1:1-7,"每个人都会经历人生的风暴。但归根结底在于：“神是否在风暴中与我们同在?”挪亚因耶和华的吩咐进入方舟。想象一下，如果他拒绝，后果将是何等致命？他的家人会与世上的人一同淹没。

挪亚一家在风暴中安然无恙，但必须经历漫长的等待才能离开方舟。即使在寂静中，神记念挪亚。我们的主不会忘记祂的儿女。祂没有忘记你和我！当水退去，门打开，挪亚踏入了一个全新的世界。

那位在方舟中保护他的神，如今引导他进入新的开始。无论你正处于风暴中还是等候的季节，要继续信靠祂。祂正在为你预备一个崭新的开始！",天父，感谢祢作我的避难所和喜乐的源头。教导我在爱中顺服，存谦卑的心行事，并将祢的智慧珍藏在心。愿祢的同在带给我平安，使我在每一个季节都得以安稳。阿们。,/static/images/picture1.jpg,"[{""text"": ""创世记 7章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/7.htm""}, {""text"": ""创世记 8章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/8.htm""}, {""text"": ""马太福音 5:1-20"", ""url"": ""https://www.wordproject.org/bibles/gb/40/5.htm""}, {""text"": ""箴言 1:1-7"", ""url"": ""https://www.wordproject.org/bibles/gb/20/1.htm""}]"
2026-01-06,全心爱主,1月6日：盟约之爱，盟约之生,创世记9-10章、马太福音5:21-48、箴言1:8-19,"如果神对我们信实的爱是根基，那么我们为神而活的信实生命便是那爱的彰显。二者缺一不可。没有生命的爱是空谈；没有爱的生命是律法主义。

神与我们所立的约是基于祂自己属性的应许。亲近祂，向祂举目祷告。每天活出尊荣祂的方式，并在实际的选择中活出神的真理。

你将看见祂话语的成就在你生命中“要生养众多“。",天父，感谢祢那永恒的约和不变的爱。求祢帮助我行在祢的公义中，在祷告中寻求祢，并信靠祢的应许。愿我的生命结出荣耀祢名的果子。阿们。,/static/images/picture1.jpg,"[{""text"": ""创世记 9章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/9.htm""}, {""text"": ""创世记 10章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/10.htm""}, {""text"": ""马太福音 5:21-48"", ""url"": ""https://www.wordproject.org/bibles/gb/40/5.htm""}, {""text"": ""箴言 1:8-19"", ""url"": ""https://www.wordproject.org/bibles/gb/20/1.htm""}]"
2026-01-07,全心爱主,1月7日：认识神为父,创世记11-12章、马太福音6章、箴言1:20-26,"主祷文以改变生命的四个字开头：“我们的父”。耶稣本可以说“我们的君王”或“我们的创造主”，但祂选择了“父”。这种对神的称呼是前所未闻的。在旧约中，我们看到神的百姓以极为敬畏的方式称呼祂，如雅威(Yahweh)、阿多奈(Adonai)或伊罗欣(Elohim)。

基督向我们显明了，我们和神最重要的关系就是承认祂为我们的天父。这样，我们才可以与祂建立亲密的关系。这就是为什么我们被教导：“你们亲近神，神就必亲近你们”。神渴望与我们亲近；祂渴望与我们建立爱的关系。与祂交谈，向祂倾心吐意！

祂会倾听、关怀并回应我们。",天父，感谢祢向我启示祢自己是我的天父。祢是我所能拥有的最完美的父亲。当我亲近祢时，求祢向我显明祢自己。帮助我认识并爱祢胜过任何人。阿们。,/static/images/picture1.jpg,"[{""text"": ""创世记 11章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/11.htm""}, {""text"": ""创世记 12章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/12.htm""}, {""text"": ""马太福音 6章"", ""url"": ""https://www.wordproject.org/bibles/gb/40/6.htm""}, {""text"": ""箴言 1:20-26"", ""url"": ""https://www.wordproject.org/bibles/gb/20/1.htm""}]"
2026-01-08,连结社群,1月8日：和平的关系,创世记13-15章、马太福音7章、箴言1:27-33,"亚伯拉罕和罗得的牧人之间发生了冲突，因为他们不断增长的羊群使他们共享的土地变得紧张。亚伯拉罕没有为此争吵，而是选择了和平。出于对近亲的爱，亚伯拉罕让罗得先选择他想要的土地。

当我们看重人过于财产，看重合一过于骄傲时，我们就能拥有和平的关系。和平并不意味着避免冲突，而是以爱来处理这些冲突。意味着在寻求被理解之前，先寻求理解。神的心意是和好，而非分裂。

愿我们的天父帮助我们建立有意义且和平的关系。",主耶稣，感谢祢呼召我作世上的盐和光。教导我寻求和平，像耶稣一样存谦卑的心行事，并以怜悯爱人。愿我的生命反映祢的心意，并带领他人更亲近祢。阿们。,/static/images/picture2.jpg,"[{""text"": ""创世记 13章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/13.htm""}, {""text"": ""创世记 14章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/14.htm""}, {""text"": ""创世记 15章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/15.htm""}, {""text"": ""马太福音 7章"", ""url"": ""https://www.wordproject.org/bibles/gb/40/7.htm""}, {""text"": ""箴言 1:27-33"", ""url"": ""https://www.wordproject.org/bibles/gb/20/1.htm""}]"
2026-01-09,连结社群,1月9日：在人的处境中接触他们,创世记16-17章、马太福音8章、箴言2:1-11,"在夏甲逃到的荒凉之地，神找到了她。在亚伯拉罕的家中，夏甲被视为婢女和替代品。但神看见了真实的她以及她所经历的一切。神看见并听见那些受伤之人的呼求。祂顾念被遗忘的人，提醒我们要将恩典与接纳，延伸给那些感到被忽视的人。

耶稣总是注意到那些被社会忽视的人。祂为无权者发声，拥抱被边缘化的人。我们常常忽略别人的伤痛，急于给出评语，却忘了与他们一同哭泣。当你在人的处境中接触他们时，你就使神的爱对他们而言变得可见、可感。

在一个不友善的世界里，怜悯让我们放慢脚步，去看见神所看见的—那痛苦背后的人。",天父，祢是那位看见破碎、听见每一个呼求的神。帮助我放慢脚步，看见身边受伤的人，并像耶稣那样显出怜悯。愿我的善意，让那些被遗忘的人感受到祢真实的爱。阿们。,/static/images/picture2.jpg,"[{""text"": ""创世记 16章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/16.htm""}, {""text"": ""创世记 17章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/17.htm""}, {""text"": ""马太福音 8章"", ""url"": ""https://www.wordproject.org/bibles/gb/40/8.htm""}, {""text"": ""箴言 2:1-11"", ""url"": ""https://www.wordproject.org/bibles/gb/20/2.htm""}]"
2026-01-10,连结社群,1月10日：代祷的力量,创世记18-19章、马太福音9章、箴言2:12-22,"罗得和他的家人因亚伯拉罕的祷告而免受神的审判。对我们今天而言，这段记载提醒我们，代祷不仅仅是话语；而是在灵里为他人站在破口中。神邀请我们与祂同工，为我们的家庭、教会和国家祷告。

代祷的力量不在于我们的口才，而在于我们与神的旨意和心意的对齐。这是一种无私的行动，你将别人的关切当作自己的来承担。相信通过祷告，仇敌的计划可以被挫败。最终，我们相信神的旨意必得成就。

你愿意为他人站在破口中吗？",天父，感谢祢垂听祢百姓的祷告。求祢帮助我像亚伯拉罕一样，凭着信心和怜悯为有需要的人代求。教导我带着确信和真诚祷告，使我的社群得坚固，祢的怜悯得彰显。阿们。,/static/images/picture2.jpg,"[{""text"": ""创世记 18章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/18.htm""}, {""text"": ""创世记 19章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/19.htm""}, {""text"": ""马太福音 9章"", ""url"": ""https://www.wordproject.org/bibles/gb/40/9.htm""}, {""text"": ""箴言 2:12-22"", ""url"": ""https://www.wordproject.org/bibles/gb/20/2.htm""}]"
