page_date,category,title,readings_text,body,prayer,image_path,reading_links_json
2026-04-01,全心爱主,4月1日：门徒的代价、呼召与品格,申命记8-9章、路加福音14章、箴言12:13-18,"虽然跟随耶稣是上帝向我们发出的最美好的邀请，但这也
是我们回应上帝所付出代价最高的决定。耶稣告诉我们，
在决定跟随祂之前，要“考虑代价”。门徒的生活意味着完
全的奉献，让基督在我们生命中居首位，高于一切。
耶稣亲自发出的“跟随我”的邀请，不只是一个命令。祂呼
召我们与祂同行，从祂身上学习，活在祂的同在中，并要
像祂一样。
门徒的品格以谦卑和顺服为标志。在祂的国度里，最伟大
的人是那些谦卑甘愿居下位的人。你愿意承担代价，回应
呼召，并追求基督的品格吗？当我们这样做时，祂将改变
我们，使我们逐渐像祂。","主耶稣，求祢帮助我以愿意的心跟随祢。赐我力量和勇气
回应祢的呼召。使我忠心、谦卑、顺服，使我的生命能够
荣耀祢的名。阿们。",/static/images/top_banner.jpg,"[{""text"": ""申命记 8章"", ""url"": ""https://www.wordproject.org/bibles/gb/05/8.htm""}, {""text"": ""申命记 9章"", ""url"": ""https://www.wordproject.org/bibles/gb/05/9.htm""}, {""text"": ""路加福音 14章"", ""url"": ""https://www.wordproject.org/bibles/gb/42/14.htm""}, {""text"": ""箴言 12章"", ""url"": ""https://www.wordproject.org/bibles/gb/20/12.htm""}]"
2026-04-02,连结社群,4月2日：顺服是真爱之证,申命记10-11章、路加福音15章、箴言12:19-24,"顺服是我们对上帝之爱的体现。对主真正的爱必然会结出
顺服的果子。这样的爱催促我们去讨祂的喜悦；为了讨祂
的喜悦，我们就会遵行祂所吩咐的。
我们是否真正爱基督的检验不在于空洞的言语，而在于是
否顺服。耶稣在祂地上事工的开始与结束都经历了考验。
你是否愿意照祂所说的去行、去爱、去饶恕、去服事、去
鼓励、彼此建立，并担当彼此的重担吗？
顺服并不容易。若是容易，我们就不会在其中挣扎。顺服
对耶稣而言同样是痛苦的。祂经历了旷野的试探、客西马
尼园的挣扎，以及犹大的背叛。
即便顺服上帝可能使我们付出许多代价，但它绝不会使我
们失去祂的应许。","天父，教导我不仅用言语爱祢，更要用顺服来爱祢。帮助
我抵挡选择性的顺服，让我完全跟随祢。阿们。
一年读经灵修:第二册 2",/static/images/top_banner.jpg,"[{""text"": ""申命记 10章"", ""url"": ""https://www.wordproject.org/bibles/gb/05/10.htm""}, {""text"": ""申命记 11章"", ""url"": ""https://www.wordproject.org/bibles/gb/05/11.htm""}, {""text"": ""路加福音 15章"", ""url"": ""https://www.wordproject.org/bibles/gb/42/15.htm""}, {""text"": ""箴言 12章"", ""url"": ""https://www.wordproject.org/bibles/gb/20/12.htm""}]"
2026-04-03,连结社群,4月3日：保持婚姻的圣洁,申命记12-13章、路加福音16章、箴言12:25-28,"与世俗文化的观念不同，耶稣关于婚姻与离婚的教导，并
不是为了羞辱那些经历破碎的人，而是为了守护神圣的事
物。婚姻是上帝所设立、所看为圣的。在祂眼中，婚姻的
破裂是被严肃对待的。虽然圣经在某些情况下允许离婚，
但上帝的心始终倾向于和好、医治与恢复。
婚姻的失败并不会使我们失去上帝对我们的爱与旨意。基
督始终是我们在人生每个阶段的盼望。
婚姻的终极目的，是荣耀上帝。维持婚姻不仅仅是为了持
续相爱和获得快乐，更是对我们与基督所立之约的忠诚。
当不完美的丈夫与妻子将基督放在生命的中心，让祂的真
理更新并塑造他们的结合时，婚姻才能持久稳固。","主耶稣，我选择尊崇我在祢面前与配偶所立的神圣誓言。
求祢赎回曾经破碎的，让我的婚姻再次完整。求祢以恩典
帮助我守护并保护我的婚姻。阿们。",/static/images/top_banner.jpg,"[{""text"": ""申命记 12章"", ""url"": ""https://www.wordproject.org/bibles/gb/05/12.htm""}, {""text"": ""申命记 13章"", ""url"": ""https://www.wordproject.org/bibles/gb/05/13.htm""}, {""text"": ""路加福音 16章"", ""url"": ""https://www.wordproject.org/bibles/gb/42/16.htm""}, {""text"": ""箴言 12章"", ""url"": ""https://www.wordproject.org/bibles/gb/20/12.htm""}]"
2026-04-04,连结社群,4月4日：不要使他人跌倒,申命记14-15章、路加福音17章、箴言13:1-5,"耶稣警告说，虽然试探难免会来到，但祂的跟随者绝不可
成为别人被绊倒的源头。我们的影响力至关重要。借着我
们的言语和行为，我们要么帮助人更亲近上帝，要么把他
们推得更远。
耶稣提醒我们，与其让上帝的一个孩子跌倒，不如将扁石
挂在脖子上扔进海里。主极其看重并保护祂儿女的心。祂
要我们对彼此的相处方式负责。
每一位信徒都肩负神圣的责任，关心彼此的属灵福祉。我
们不可误导、施压，或以任何方式伤害他人的信心。面对
基督严肃而郑重的话语，让我们反思自己如何带领、如何
影响他人，以及如何行事为人。","主耶稣，求祢帮助我留意自己的生活方式。帮助我关心周
围人的属灵福祉。让我警醒言语、态度和行为，以免使他
人跌倒。阿们。
一年读经灵修:第二册 4",/static/images/top_banner.jpg,"[{""text"": ""申命记 14章"", ""url"": ""https://www.wordproject.org/bibles/gb/05/14.htm""}, {""text"": ""申命记 15章"", ""url"": ""https://www.wordproject.org/bibles/gb/05/15.htm""}, {""text"": ""路加福音 17章"", ""url"": ""https://www.wordproject.org/bibles/gb/42/17.htm""}, {""text"": ""箴言 13章"", ""url"": ""https://www.wordproject.org/bibles/gb/20/13.htm""}]"
2026-04-05,连结社群,4月5日：恒切祷告的力量,申命记16-17章、路加福音18:1-17、箴言13:6-10,"耶稣讲述了那位恒切寡妇的比喻，教导我们“应当常常祷
告，勿要灰心”。那位寡妇没有任何影响力或权势，但她
坚持不懈地呼求公义，最终感动了那位不义的官，使他为
她伸冤。
如果坚持不懈可以打动腐败的人类权威，我们的呼求又能
打动天父的心多少倍呢？我们祷告的力量不在于祷告的人，
而在于我们所祷告的对象。让我们少与人交谈，多在秘密
的祷告中与神对话。
当我们持续祷告时，不公可以得以纠正，困境可以被扭转，
心灵可以被改变。无论我们走到哪里，都能看到破碎与苦
难。神邀请你通过祷告站在代祷的位子上！凭着信心宣告，
救赎与恢复将临到我们的家庭和社群。","主耶稣，教导我以恒切和信心祷告。赐给我祢那公义与怜
悯的心。坚固我，使我不灰心祷告，信靠祢垂听并必动工。
我要相信，大山小山也必被挪动！阿们。",/static/images/top_banner.jpg,"[{""text"": ""申命记 16章"", ""url"": ""https://www.wordproject.org/bibles/gb/05/16.htm""}, {""text"": ""申命记 17章"", ""url"": ""https://www.wordproject.org/bibles/gb/05/17.htm""}, {""text"": ""路加福音 18章"", ""url"": ""https://www.wordproject.org/bibles/gb/42/18.htm""}, {""text"": ""箴言 13章"", ""url"": ""https://www.wordproject.org/bibles/gb/20/13.htm""}]"
2026-04-06,连结社群,4月6日：伪冒的属灵权柄,申命记18-20章、路加福音18:18-43、诗篇46篇,"神禁止从事邪术和神秘活动，因为这些行为会使我们和我
们的家庭暴露在反对祂国度的不属神的灵界影响之下。涉
足此类行为十分危险，因为它会动摇我们的属灵忠诚，玷
污神的子民和祂的教会。在神以外寻求超自然指引，就是
拒绝祂的权柄。邪术的力量是一种伪冒的属灵权柄，它带
来的是捆绑、恐惧和欺骗，而非在基督里的自由。
真正悔改离开邪术，必须完全与之切断关系--认罪、否
认所有虚假的效忠，销毁所有邪术物品，并完全顺服基督
而行。","天父，我为任何已知或未知的涉足邪术的行为悔改，并拒
绝一切伪冒的属灵事物。我弃绝一切不出于祢的事物，宣
告耶稣基督为我唯一的主。凭着祢的名和祢在十字架上完
成的工作，求祢洁净我、恢复我，并再次以祢的圣灵充满
我。奉耶稣的名，阿们。
一年读经灵修:第二册 6",/static/images/top_banner.jpg,"[{""text"": ""申命记 18章"", ""url"": ""https://www.wordproject.org/bibles/gb/05/18.htm""}, {""text"": ""申命记 19章"", ""url"": ""https://www.wordproject.org/bibles/gb/05/19.htm""}, {""text"": ""申命记 20章"", ""url"": ""https://www.wordproject.org/bibles/gb/05/20.htm""}, {""text"": ""路加福音 18章"", ""url"": ""https://www.wordproject.org/bibles/gb/42/18.htm""}, {""text"": ""诗篇 46篇"", ""url"": ""https://www.wordproject.org/bibles/gb/19/46.htm""}]"
2026-04-07,连结社群,4月7日：向神歌唱赞美,申命记21-22章、路加福音19:1-27、诗篇47篇,"你上一次在祷告中向神献上赞美是什么时候？我们很擅长
把自己的需要带到祂面前，却不够刻意地献上赞美。
正如肯定的话语会带给我们喜乐和鼓励，我们的赞美也使
神喜悦。让我们就像在团体敬拜中一样，也在私下的时刻
赞美神。为着祂是谁来赞美祂，为着祂所做的一切来赞美
祂。也要单纯地赞美祂，因为祂是我们的主。不仅把祷告
的请求带到祂面前，也要献上我们的敬拜和爱慕。祂配得
一切赞美！
当我们养成赞美神的生活方式时，心灵会更敏锐地感受到
祂在我们当中的作为。赞美神能建立我们的信心，使我们
的关注从问题转向神的伟大。当我们以赞美进入祂的同在
时，祂的大能就会进入我们的处境。","主耶稣，求祢赦免我在期待祢满足我的需要时，却忘记以
感恩的心来赞美祢。今天，我选择赞美祢，因为祢是神！
祢配得我一切的敬拜。阿们。",/static/images/top_banner.jpg,"[{""text"": ""申命记 21章"", ""url"": ""https://www.wordproject.org/bibles/gb/05/21.htm""}, {""text"": ""申命记 22章"", ""url"": ""https://www.wordproject.org/bibles/gb/05/22.htm""}, {""text"": ""路加福音 19章"", ""url"": ""https://www.wordproject.org/bibles/gb/42/19.htm""}, {""text"": ""诗篇 47篇"", ""url"": ""https://www.wordproject.org/bibles/gb/19/47.htm""}]"
2026-04-08,连结社群,4月8日：从奴仆到儿子,申命记23-24章、路加福音19:28-48、诗篇48篇,"以色列人在埃及压迫性的体制下度过了数代。他们学会了
在暴政中求生，却不懂得如何在公义之下生活。
上帝必须设立律法，帮助祂的子民学习如何共同生活。祂
教导以色列人如何保护弱势群体、尊重承诺、保持营地的
洁净，并以尊荣彼此相待。他们被教导要活在公义之中，
而不是彼此剥削。上帝借着这些律法向他们显明祂对日常
生活的标准。
今天，你是活得像奴仆，还是像儿女？我们曾是罪的奴仆，
如今却已与天父和好。现在正是时候活出君王儿女的身份。
我们不再是奴仆，也不再是孤儿；我们在基督里已经拥有
新的身份。愿我们从今以后，也按照上帝的标准而活。","天父，感谢祢救我脱离老我，赐我在基督里的新身份。更
新我的心意，教导我以君王的儿女身份生活。阿们。
一年读经灵修:第二册 8",/static/images/top_banner.jpg,"[{""text"": ""申命记 23章"", ""url"": ""https://www.wordproject.org/bibles/gb/05/23.htm""}, {""text"": ""申命记 24章"", ""url"": ""https://www.wordproject.org/bibles/gb/05/24.htm""}, {""text"": ""路加福音 19章"", ""url"": ""https://www.wordproject.org/bibles/gb/42/19.htm""}, {""text"": ""诗篇 48篇"", ""url"": ""https://www.wordproject.org/bibles/gb/19/48.htm""}]"
2026-04-09,进入命定,4月9日：诚实的行为,申命记25-27章、路加福音20:1-26、诗篇49篇,"以色列人被警告不可使用不诚实的法码和度量衡。神称这
种欺骗为“可憎”，因为它反映了内心的败坏。正直始于生
活中那些微小、无人注意的时刻。当我们的私生活与公开
行为同样诚实时，真正的正直就显现出来。正直不在乎谁
在看，而是以正确行事为唯一标准，即使你是唯一这样做
的人。
正直比能力和智慧更重要。品格低劣的人永远不会选择高
尚之路。让准确汇报、守信承诺成为我们在神面前的“诚
实度量”。我们必须记得，神不仅看我们的行为，也看我
们行事的方式。在每一个决定中，让我们选择在神眼中行
正道。","主耶稣，求祢帮助我行走在正直中。洁净我的动机，坚固
我的品格，引导我行正道。愿我的生命彰显诚实，归荣耀
于祢。阿们。",/static/images/top_banner.jpg,"[{""text"": ""申命记 25章"", ""url"": ""https://www.wordproject.org/bibles/gb/05/25.htm""}, {""text"": ""申命记 26章"", ""url"": ""https://www.wordproject.org/bibles/gb/05/26.htm""}, {""text"": ""申命记 27章"", ""url"": ""https://www.wordproject.org/bibles/gb/05/27.htm""}, {""text"": ""路加福音 20章"", ""url"": ""https://www.wordproject.org/bibles/gb/42/20.htm""}, {""text"": ""诗篇 49篇"", ""url"": ""https://www.wordproject.org/bibles/gb/19/49.htm""}]"
2026-04-10,进入命定,4月10日：宗教骄傲的败坏,申命记28章、路加福音20:27-47、诗篇50篇,"耶稣揭示了宗教骄傲的败坏。撒都该人更重视传统律法，
而非真理的实质。文士喜爱表面的荣耀、头衔和关注，他
们的心却远离神。尽管他们熟知神的话语，却滥用权柄谋
取私利。
教会中也有许多人落入过度宗教化的陷阱。我们依附于人
为的习俗--对改变做事方式常抱强烈抵触。我们追求认
可与掌控--因未被任命为牧师或领袖而心生不满。我们
甚至威胁说，如果不能以适合自己的方式服事，就不愿服
事。
神极其关心我们内在的光景。我们是否重视头衔和传统多
过于讨神的心和从神而来的荣耀？我们应当警惕，不要跌
入宗教骄傲，为了头衔和传统而忽略了守护自己的心。","天父，求祢查验我的心，显露我心中任何宗教骄傲的痕迹。
赦免我将传统、头衔和人的认同看得比祢的真理更重要。
求祢将我的身份扎根在基督里，而非地位上。阿们。
一年读经灵修:第二册 10",/static/images/top_banner.jpg,"[{""text"": ""申命记 28章"", ""url"": ""https://www.wordproject.org/bibles/gb/05/28.htm""}, {""text"": ""路加福音 20章"", ""url"": ""https://www.wordproject.org/bibles/gb/42/20.htm""}, {""text"": ""诗篇 50篇"", ""url"": ""https://www.wordproject.org/bibles/gb/19/50.htm""}]"
